date,score_full,score_full_std,count,score_title,score_title_std,score_content,score_content_std
2017-11-10,0.04583333333333333,0.6545936967321168,48,-0.08958333333333333,0.7149585863124129,0.29375,0.4732891923279763
2017-11-11,-0.019047619047619053,0.5996824556538632,21,0.23809523809523808,0.44997354419586766,-0.17142857142857143,0.5891883036371796
2017-11-12,0.21538461538461537,0.4394051923645454,13,0.16153846153846155,0.5590743265113348,0.23846153846153847,0.3279696671402747
2017-11-13,0.17755102040816328,0.6004391816698456,49,0.18571428571428572,0.5578978401105349,0.10816326530612244,0.5567153426923994
2017-11-14,0.12340425531914895,0.6397053553946762,47,0.2127659574468085,0.581458818040264,0.13829787234042554,0.5419582815202828
2017-11-15,0.30153846153846153,0.578384686998062,65,0.3046153846153846,0.5421112573859866,0.3261538461538461,0.5145619869962593
2017-11-16,0.2576923076923077,0.589564862418455,52,0.2320754716981132,0.6256607537714584,0.23846153846153847,0.5076488852037077
2017-11-17,0.3652173913043478,0.5494309748596867,46,0.24782608695652175,0.6094584592296427,0.34347826086956523,0.5071279364828492
2017-11-18,0.23478260869565218,0.5390300174237,23,0.21739130434782608,0.4969472021645061,0.32173913043478264,0.3884193162258944
2017-11-19,0.45,0.40860313476419935,24,0.3958333333333333,0.4777475835869695,0.32916666666666666,0.506890921004807
2017-11-20,0.41800000000000004,0.42603535352008015,50,0.40800000000000003,0.41247881825640953,0.364,0.380525951808809
2017-11-21,0.1423076923076923,0.6272711374993019,52,0.23653846153846156,0.5387090036824772,0.16538461538461538,0.56978999068443
2017-11-22,0.4265625,0.501503196748741,64,0.4765625,0.42304346562678846,0.4078125,0.4164493480890678
2017-11-23 00:00:00,0.26999999999999996,0.5440271291409826,30,0.29333333333333333,0.5251819608040845,0.27666666666666667,0.5170762188420136
2017-11-24,0.4780487804878049,0.4180383924485592,41,0.3829268292682927,0.525310593375191,0.35365853658536583,0.48119515842099325
2017-11-25,0.1,0.6733003292241385,16,0.11249999999999999,0.6820312798300873,0.24375,0.5124695112882326
2017-11-26,0.34545454545454546,0.6246730746690226,22,0.3772727272727273,0.6163887287540752,0.2681818181818182,0.6944585857146035
2017-11-27,0.34285714285714286,0.5172856228278682,56,0.31428571428571433,0.4893143891493193,0.30357142857142855,0.5084608810247525
2017-11-28,0.5125000000000001,0.4438289388763727,64,0.4584615384615385,0.47922212611047726,0.42031250000000003,0.44084323510348655
2017-11-29,0.15822784810126583,0.659566212328459,79,0.1670886075949367,0.665779188579421,0.17848101265822786,0.5939159238771585
2017-11-30,0.29565217391304344,0.5884762933424652,69,0.1956521739130435,0.5939485971541487,0.21449275362318843,0.5453750361849876
2017-12-01,0.38513513513513514,0.4577139240648663,74,0.32432432432432434,0.5526550636701179,0.33378378378378376,0.46707396587312144
2017-12-02,0.29583333333333334,0.47133406104529435,24,0.3416666666666666,0.4158978414139145,0.20833333333333334,0.3752293984341784
2017-12-03,0.28125,0.5006044733216809,32,0.259375,0.5684497169012941,0.190625,0.49144905882436574
2017-12-04,0.4,0.46961744062645344,75,0.36666666666666664,0.5057328996276252,0.4026666666666667,0.4188056807138584
2017-12-05,0.21794871794871795,0.6012419159471847,78,0.12564102564102564,0.6154790969761028,0.2166666666666667,0.5891699348415635
2017-12-06,0.3666666666666667,0.65649517552908,72,0.29583333333333334,0.649471616224828,0.3611111111111111,0.5660725966371599
2017-12-07,0.1274725274725275,0.711815508879456,91,0.10989010989010989,0.6936305364697557,0.13296703296703297,0.6168116847601499
2017-12-08,0.26097560975609757,0.5385751887765283,82,0.2548780487804878,0.5584706716714257,0.23170731707317074,0.5440765307416082
2017-12-09,0.1837837837837838,0.6470074332019832,37,0.22702702702702704,0.6198784148921861,0.14864864864864866,0.6371035244769101
2017-12-10,0.11714285714285713,0.6308191286805147,35,0.38857142857142857,0.41711292628892593,0.13714285714285715,0.5931400560157947
2017-12-11,0.17790697674418607,0.6404779764392324,86,0.1511627906976744,0.6296113060586082,0.18139534883720929,0.6055647102755025
2017-12-12,0.21562499999999998,0.5519969727224388,96,0.12083333333333333,0.5812720473087074,0.12708333333333333,0.5194084016641416
2017-12-13,0.189247311827957,0.570937894587836,93,0.21595744680851064,0.5516940073443318,0.17526881720430107,0.5280513631922922
2017-12-14,0.1108695652173913,0.6274764601756263,92,0.20652173913043478,0.5369438032735504,-0.007608695652173916,0.6116512860672579
2017-12-15,0.26483516483516484,0.611804911965612,91,0.27582417582417584,0.6026498263393206,0.39780219780219783,0.40331350418970935
2017-12-16,0.05454545454545455,0.6553104746468029,33,0.030303030303030318,0.6898753730225701,0.06363636363636364,0.6431456783935998
2017-12-17,0.38620689655172413,0.3642253403075732,29,0.2275862068965517,0.5547821655672857,0.3103448275862069,0.4220230423517916
2017-12-18,0.21807228915662652,0.5680829075341916,83,0.28313253012048195,0.5323256103103634,0.19518072289156627,0.5539004961397499
2017-12-19,0.07261904761904762,0.6940975228302447,84,0.25357142857142856,0.5170459252449364,0.1130952380952381,0.6109009270148913
2017-12-20,0.29375,0.5469171976201073,96,0.30103092783505153,0.5160940735791346,0.26875,0.5525657855571777
2017-12-21,0.13296703296703297,0.6673421486355732,91,0.11978021978021978,0.6398298003236275,0.08791208791208792,0.6504417584030726
2017-12-22,0.01951219512195122,0.6578001168110292,82,0.062195121951219505,0.6504775537073861,0.08292682926829269,0.6091493518436597
2017-12-23,-0.09714285714285714,0.6555131417382848,35,-0.28285714285714286,0.6559616713541382,0.05142857142857143,0.608939013932492
2017-12-24,-0.025,0.6083816278687295,40,0.045,0.5396817675782741,0.045,0.5123850715413765
